version,filename,downloads_30d
0.15.4,tzfpy-0.15.4-cp311-cp311-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,30
0.16.4,tzfpy-0.16.4-cp39-abi3-musllinux_1_1_x86_64.whl,30
1.0.1,tzfpy-1.0.1-cp314-cp314t-win_arm64.whl,30
0.15.6,tzfpy-0.15.6-cp38-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,29
1.0.1,tzfpy-1.0.1-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,29
1.0.1,tzfpy-1.0.1-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,29
1.1.0,tzfpy-1.1.0-cp314-cp314t-macosx_10_12_x86_64.whl,29
0.15.2,tzfpy-0.15.2-pp310-pypy310_pp73-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,28
0.15.3,tzfpy-0.15.3-cp311-cp311-musllinux_1_1_aarch64.whl,28
0.16.1,tzfpy-0.16.1-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,28
1.0.1,tzfpy-1.0.1-cp310-abi3-musllinux_1_2_armv7l.whl,28
1.0.1,tzfpy-1.0.1-cp310-abi3-musllinux_1_2_x86_64.whl,28
1.0.1,tzfpy-1.0.1-cp310-abi3-win_amd64.whl,28
1.0.1,tzfpy-1.0.1-cp310-abi3-win_arm64.whl,28
0.15.0,tzfpy-0.15.0-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,27
0.16.0,tzfpy-0.16.0-cp39-abi3-manylinux_2_24_armv7l.whl,27
0.16.1,tzfpy-0.16.1-cp313-cp313t-manylinux_2_24_armv7l.whl,27
0.16.2,tzfpy-0.16.2-cp313-cp313t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,27
0.16.2,tzfpy-0.16.2-cp313-cp313t-manylinux_2_24_armv7l.whl,27
0.16.3,tzfpy-0.16.3-cp39-abi3-manylinux_2_24_armv7l.whl,27
1.0.1,tzfpy-1.0.1-cp310-abi3-musllinux_1_2_aarch64.whl,27
0.12.0,tzfpy-0.12.0-pp39-pypy39_pp73-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,26
0.12.3,tzfpy-0.12.3-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,26
0.13.0,tzfpy-0.13.0-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,26
0.15.0,tzfpy-0.15.0-cp39-cp39-musllinux_1_1_aarch64.whl,26
0.15.2,tzfpy-0.15.2-cp310-cp310-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,26
0.15.2,tzfpy-0.15.2-cp310-cp310-manylinux_2_24_armv7l.whl,26
0.15.2,tzfpy-0.15.2-pp39-pypy39_pp73-manylinux_2_24_armv7l.whl,26
0.15.3,tzfpy-0.15.3-cp38-cp38-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,26
0.15.3,tzfpy-0.15.3-pp310-pypy310_pp73-musllinux_1_1_aarch64.whl,26
0.15.5,tzfpy-0.15.5-cp310-cp310-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,26
0.15.6,tzfpy-0.15.6-cp38-abi3-win_amd64.whl,26
0.16.1,tzfpy-0.16.1-cp313-cp313t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,26
0.16.2,tzfpy-0.16.2-cp39-abi3-musllinux_1_1_aarch64.whl,26
0.16.3,tzfpy-0.16.3-cp313-cp313t-manylinux_2_24_armv7l.whl,26
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_24_armv7l.whl,26
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_10_12_x86_64.whl,26
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,26
1.0.1,tzfpy-1.0.1-cp314-cp314t-win_amd64.whl,26
0.11.0,tzfpy-0.11.0-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
